Id,Observation Season,Name,Constellation area in square degrees,Declination,RA (Right Ascension,Principal star,Constellation area in % of the celestial sphere,Constellation zone (celestial equator),Constellation zone (ecliptic),Constellation zone (Milky Way),Quad,Name origin,Meaning,Image,Story,First Appeared
psa,Summer,Piscis Austrinus,245.375,"-30° 38,53'","20:13,88",Fomalhaut,"0,59 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 4,Ptolémée,the Southern Fish,https://www.iau.org/static/public/constellations/gif/PSA.gif,The southern fish; the parent of the two fish depicted by Pisces.,Ancient
vir,Spring,Virgo,1294.43,"-04° 09,51'","22:17,38",Spica,"3,14 %",Equatorial constellation,Zodiacal constellation # 7,,South Hemisphere Quadrant 3,Ptolémée,the Maiden,https://www.iau.org/static/public/constellations/gif/VIR.gif,"The virgin; in Greek mythology, the goddess of justice.",Ancient
sge,Summer,Sagitta,79.932,"+18° 51,68'","16:53,24",γ Sagittae,"0,19 %",North constellation,North ecliptic constellation,,North Hemisphere Quadrant 4,Ptolémée,the Arrow,https://www.iau.org/static/public/constellations/gif/SGE.gif,"The arrow; in Greek mythology, perhaps the arrow that Apollo used to kill the Cyclopes.",Ancient
per,Autumn,Perseus,614.997,"+45° 00,79'","21:11,26",Mirfak,"1,49 %",North constellation,North ecliptic constellation,,North Hemisphere Quadrant 1,Ptolémée,the Hero,https://www.iau.org/static/public/constellations/gif/PER.gif,"Perseus; in Greek mythology, the husband of Andromeda, also known for slaying Medusa the Gorgon.",Ancient
car,Southern hemisphere constellation,Carina,494.184,"-63° 13,16'","08:41,70",Canopus,"1,20 %",South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 2,Lacaille,the Keel,https://www.iau.org/static/public/constellations/gif/CAR.gif,"The keel; a sub-division of the ancient constellation Argo – in Greek mythology, the ship of the Argonauts.",1756 (Lacaille)
cma,Winter,Canis Major,380.118,"-22° 08,42'","05:51,76",Sirius,"0,92 %",South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 2,Ptolémée,the Great Dog,https://www.iau.org/static/public/constellations/gif/CMA.gif,"The greater dog; in Greek mythology, a hunting dog belonging to Orion, depicted pursuing the hare Lepus.",Ancient
aur,Autumn,Auriga,657.438,"+42° 01,68'","14:42,64",Capella,"1,59 %",North constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 2,Ptolémée,the Charioteer,https://www.iau.org/static/public/constellations/gif/AUR.gif,"The charioteer; in Greek mythology, Erichthonius, son of Vulcan, the first person to attach four horses to a chariot.",Ancient
aql,Summer,Aquila,652.473,"+03° 24,65'","15:11,96",Altair,"1,58 %",Equatorial constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 4,Ptolémée,the Eagle,https://www.iau.org/static/public/constellations/gif/AQL.gif,"The eagle; in Greek mythology, the bird of Zeus and the retriever of his thunderbolts.",Ancient
cep,Summer,Cepheus,587.787,"+71° 00,51'","22:00,00",Alderamin,"1,42 %",North constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 4,Ptolémée,the King,https://www.iau.org/static/public/constellations/gif/CEP.gif,"King Cepheus of Ethiopeia; in Greek mythology, the king of Ethiopia, descended from Zeus and Io.",Ancient
cir,Southern hemisphere constellation,Circinus,93.353,"-63° 01,82'","06:04,42",α Circini,"0,23 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Lacaille,the Compass,https://www.iau.org/static/public/constellations/gif/CIR.gif,The pair of dividing compasses; a modern constellation introduced by Lacaille in 1756.,1756 (Lacaille)
ara,Southern hemisphere constellation,Ara,237.057,"-56° 35,30'","02:38,16",β Arae,"0,57 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Ptolémée,the Altar,https://www.iau.org/static/public/constellations/gif/ARA.gif,"The altar; in Greek mythology, used by the Gods to vow allegiance before their battle with the Titans.",Ancient
cam,Autumn,Camelopardalis,756.828,"+69° 22,89'","08:38,96",β Camelopardalis,"1,83 %",North constellation,North ecliptic constellation,,North Hemisphere Quadrant 2,Plancius,the Giraffe,https://www.iau.org/static/public/constellations/gif/CAM.gif,The giraffe; a large but faint northern constellation introduced by Plancius in 1612.,1612 (Plancius)
cet,Autumn,Cetus,1231.41,"-07° 10,76'","12:47,27",Diphda,"2,99 %",Equatorial constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Ptolémée,the Sea Monster,https://www.iau.org/static/public/constellations/gif/CET.gif,"The sea monster, which in Greek mythology attacked Cepheus's territory and Andromeda, but which was slain by Perseus.",Ancient
com,Spring,Coma Berenices,386.475,"+23° 18,34'","18:38,79",β Comae Berenices,"0,94 %",North constellation,North ecliptic constellation,Milky Way North pole,North Hemisphere Quadrant 3,Tycho Brahe,the Bernice's Hair,https://www.iau.org/static/public/constellations/gif/COM.gif,The hair of Queen Berenice of Egypt; introduced as a constellation by Vopel in 1536.,1536 (Vopel)
for,Southern hemisphere constellation,Fornax,397.502,"-31° 38,07'","06:49,74",Dalim,"0,96 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille,the Furnace,https://www.iau.org/static/public/constellations/gif/FOR.gif,"The furnace; originally a chemist's distillation furnace, introduced by Lacaille in 1756.",1756 (Lacaille)
hya,Winter,Hydra,1302.84,"-14° 31,91'","11:36,73",Alphard,"3,16 %",Equatorial constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Ptolémée,the Female Water Snake,https://www.iau.org/static/public/constellations/gif/HYA.gif,"The multi-headed water snake, slain by Hercules in Greek mythology.",Ancient
lib,Spring,Libra,538.052,"-15° 14,08'","10:40,03",Zubeneschamali,"1,30 %",South constellation,Zodiacal constellation # 8,,South Hemisphere Quadrant 3,Ptolémée,the Scales,https://www.iau.org/static/public/constellations/gif/LIB.gif,The balance; a zodiacal constellation introduced by the Romans.,Ancient (Roman)
crt,Winter,Crater,282.398,"-15° 55,74'","20:35,28",δ Crateris,"0,68 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Ptolémée,the Cup,https://www.iau.org/static/public/constellations/gif/CRT.gif,"The cup; in Greek mythology, clutched by the crow Crater in its search for water.",Ancient
lac,Summer,Lacerta,200.688,"+46° 02,51'","22:27,68",α Lacertae,"0,49 %",North constellation,North ecliptic constellation,,North Hemisphere Quadrant 4,Hevelius,the Lizard,https://www.iau.org/static/public/constellations/gif/LAC.gif,The lizard; introduced as a constellation by Johannes Hevelius in 1690.,1690 (Hevelius)
del,Summer,Delphinus,188.549,"+11° 40,26'","03:18,02",Rotanev,"0,46 %",North constellation,North ecliptic constellation,,North Hemisphere Quadrant 4,Ptolémée,the Dolphin,https://www.iau.org/static/public/constellations/gif/DEL.gif,"The dolphin; in Greek mythology, the messenger of Poseidon.",Ancient
crv,Spring,Corvus,183.801,"-18° 26,20'","05:14,51",Gienah,"0,45 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Ptolémée,the Crow,https://www.iau.org/static/public/constellations/gif/CRV.gif,"The crow; in Greek mythology, sent by Apollo in search of water.",Ancient
dra,Spring,Draco,1082.95,"+67° 00,40'","02:47,88",Eltanin,"2,63 %",North constellation,North ecliptic pole,,North Hemisphere Quadrant 3,Ptolémée,the Dragon,https://www.iau.org/static/public/constellations/gif/DRA.gif,"The dragon; in Greek mythology, Ladon, guard of the tree on which golden apples grew, slain by Hercules.",Ancient
cnc,Winter,Cancer,505.872,"+19° 48,35'","12:26,52",Tarf,"1,23 %",North constellation,Zodiacal constellation # 5,,North Hemisphere Quadrant 2,Ptolémée,the Crab,https://www.iau.org/static/public/constellations/gif/CNC.gif,"The crab; in Greek mythology, a crab which bit Hercules's foot.",Ancient
cen,Southern hemisphere constellation,Centaurus,1060.42,"-47° 20,72'","13:04,27",Rigil Kentaurus,"2,57 %",South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 3,Ptolémée,the Centaur,https://www.iau.org/static/public/constellations/gif/CEN.gif,"The Centaur: half man and half horse; in Greek mythology, the wise centaur Chiron.",Ancient
cas,Autumn,Cassiopeia,598.407,"+62° 11,04'","01:19,16",Schedar,"1,45 %",North constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 1,Ptolémée,the Seated Queen,https://www.iau.org/static/public/constellations/gif/CAS.gif,"Queen Cassiopeia; in Greek mythology, wife of Cepheus and mother of Andromeda.",Ancient
aps,Southern hemisphere constellation,Apus,206.327,"-75° 18,00'","17:22,49",α Apodis,"0,50 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Bayer,the Bird of Paradise,https://www.iau.org/static/public/constellations/gif/APS.gif,The bird of paradise; a southern constellation introduced by Keyser & de Houtman in 1598.,1598 (Keyser & de Houtman)
cha,Southern hemisphere constellation,Chamaeleon,131.592,"-79° 12,30'","13:06,96",α Chamaeleontis,"0,32 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Bayer,the Chameleon,https://www.iau.org/static/public/constellations/gif/CHA.gif,The chameleon; introduced by Keyser & de Houtman in 1598.,1598 (Keyser & de Houtman)
ant,Southern hemisphere constellation,Antlia,238.901,"-32° 29,01'","00:48,46",α Antliae,"0,58 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Lacaille,the Air Pump,https://www.iau.org/static/public/constellations/gif/ANT.gif,"The air pump; a southern constellation introduced by Lacaille in 1756, originally the 'pneumatic machine'.",1756 (Lacaille)
aqr,Summer,Aquarius,979.854,"-10° 47,35'","01:40,10",Sadalsuud,"2,38 %",Equatorial constellation,Zodiacal constellation # 13,,South Hemisphere Quadrant 4,Ptolémée,the Water Bearer,https://www.iau.org/static/public/constellations/gif/AQR.gif,"The water bearer; in Greek mythology, Ganymede, wine-waiter to the Gods and lover of Zeus.",Ancient
cap,Summer,Capricornus,413.947,"-18° 01,39'","21:02,93",Deneb Algedi,"1,00 %",South constellation,Zodiacal constellation # 12,,South Hemisphere Quadrant 4,Ptolémée,the Sea Goat,https://www.iau.org/static/public/constellations/gif/CAP.gif,"The sea goat; associated with Pan in Greek mythology, god of the countryside.",Ancient
and,Autumn,Andromeda,722.278,"+37° 25,91'","19:40,02",Alpheratz,"1,75 %",North constellation,North ecliptic constellation,,North Hemisphere Quadrant 1,Ptolémée,the Chained Maiden,https://www.iau.org/static/public/constellations/gif/AND.gif,"The Princess Andromeda; in Greek mythology, the daughter of Cepheus and Cassiopeia and wife of Perseus.",Ancient
boo,Spring,Bootes,906.831,"+31° 12,16'","04:42,27",Arcturus,"2,20 %",North constellation,North ecliptic constellation,,North Hemisphere Quadrant 3,Ptolémée,the Herdsman,https://www.iau.org/static/public/constellations/gif/BOO.gif,"The herdsman; in Greek mythology, Arcas, son of Zeus by Callisto.",Ancient
ari,Autumn,Aries,441.395,"+20° 47,54'","08:57,16",Hamal,"1,07 %",North constellation,Zodiacal constellation # 2,,North Hemisphere Quadrant 1,Ptolémée,the Ram,https://www.iau.org/static/public/constellations/gif/ARI.gif,"The ram; in Greek mythology, the animal whose golden fleece was recovered by Jason and the Argonauts.",Ancient
pup,Southern hemisphere constellation,Puppis,673.434,"-31° 10,64'","00:55,91",Naos,"1,63 %",South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 2,Lacaille,the Stern,https://www.iau.org/static/public/constellations/gif/PUP.gif,"The poop deck of the Argo Navis; a sub-division of the ancient constellation Argo – in Greek mythology, the ship of the Argonauts.",1756 (Lacaille)
sco,Spring,Scorpius,496.783,"-27° 01,89'","07:15,48",Antares,"1,20 %",South constellation,Zodiacal constellation # 9,Milky Way Equator,South Hemisphere Quadrant 3,Ptolémée,the Scorpion,https://www.iau.org/static/public/constellations/gif/SCO.gif,The scorpion; said to have stung the hunter Orion to death in Greek mythology.,Ancient
ori,Winter,Orion,594.12,"+05° 56,94'","22:41,84",Rigel,"1,44 %",Equatorial constellation,South ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 1,Ptolémée,the Hunter,https://www.iau.org/static/public/constellations/gif/ORI.gif,"The hunter; associated in Greek mythology with a son of Poseidon, but associated by the Sumerians with their great hero Gilgamesh.",Ancient
oct,Southern hemisphere constellation,Octans,291.045,"-82° 09,12'","05:34,59",ν Octantis,"0,71 %",South constellation - PSouth constellation,South ecliptic constellation,,South Hemisphere Quadrant 4,Lacaille,the Octant,https://www.iau.org/static/public/constellations/gif/OCT.gif,"The octant, a navigational instrument invented in the 1730s. A modern constellation introduced by Lacaille in 1756.",1756 (Lacaille)
pic,Southern hemisphere constellation,Pictor,246.739,"-53° 28,45'","10:14,72",α Pictoris,"0,60 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille,the Painter's Easel,https://www.iau.org/static/public/constellations/gif/PIC.gif,The painter's easel; a modern constellation introduced by Lacaille in 1756.,1756 (Lacaille)
ret,Southern hemisphere constellation,Reticulum,113.936,"-59° 59,85'","07:47,73",α Reticuli,"0,28 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille,the Reticle,https://www.iau.org/static/public/constellations/gif/RET.gif,"The net; a southern constellation introduced by Lacaille in 1756, commemorating the cross-hair in his telescope.",1756 (Lacaille)
pyx,Southern hemisphere constellation,Pyxis,220.833,"-27° 21,10'","22:17,07",α Pyxidis,"0,54 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Lacaille,the Compass,https://www.iau.org/static/public/constellations/gif/PYX.gif,The compass; a southern constellation introduced by Lacaille in 1756.,1756 (Lacaille)
nor,Southern hemisphere constellation,Norma,165.29,"-51° 21,09'","17:23,69",γ2 Normae,"0,40 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Lacaille,the Carpenter's Square,https://www.iau.org/static/public/constellations/gif/NOR.gif,The set square; a modern constellation introduced by Lacaille in 1756.,1756 (Lacaille)
pav,Southern hemisphere constellation,Pavo,377.666,"-65° 46,89'","05:42,46",Peacock,"0,92 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 4,Bayer,the Peacock,https://www.iau.org/static/public/constellations/gif/PAV.gif,The peacock; a constellation introduced by Keyser & de Houtman in 1598.,1598 (Keyser & de Houtman)
sex,Winter,Sextans,313.515,"-02° 36,88'","19:05,94",α Sextantis,"0,76 %",Equatorial constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Hevelius,the Sextant,https://www.iau.org/static/public/constellations/gif/SEX.gif,"The sextant; a constellation introduced by Johannes Hevelius in 1687, celebrating an instrument used to measure star positions.",1687 (Hevelius)
vel,Southern hemisphere constellation,Vela,499.649,"-47° 10,03'","19:19,54",γ2 Velorum,"1,21 %",South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 2,Lacaille,the Sails,https://www.iau.org/static/public/constellations/gif/VEL.gif,"The sail; a sub-division of the ancient constellation Argo – in Greek mythology, the ship of the Argonauts.",1756 (Lacaille)
tau,Autumn,Taurus,797.249,"+14° 52,63'","16:57,04",Aldebaran,"1,93 %",Equatorial constellation,Zodiacal constellation # 3,Milky Way Equator,North Hemisphere Quadrant 1,Ptolémée,the Bull,https://www.iau.org/static/public/constellations/gif/TAU.gif,"The bull; said by the Sumerians to be charging at Orion the hunter, but in Greek mythology said to be Zeus in disguise.",Ancient
